Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
2019-01-01;2019-01-02;1097118.75;277423.25;53621.00
2019-01-02;2019-01-03;1388494.25;667815.25;36221.25
2019-01-03;2019-01-04;1466308.25;1149137.00;24179.75
2019-01-04;2019-01-05;1486876.25;946013.50;25817.75
2019-01-05;2019-01-06;1315755.00;696985.25;48002.75
2019-01-06;2019-01-07;1207037.75;941073.50;29471.00
2019-01-07;2019-01-08;1525289.00;1073074.50;32610.50
2019-01-08;2019-01-09;1605658.75;628103.00;46107.75
2019-01-09;2019-01-10;1625614.00;834322.00;31925.25
2019-01-10;2019-01-11;1583216.00;1388650.75;29461.75
2019-01-11;2019-01-12;1609084.00;1108308.25;31769.00
2019-01-12;2019-01-13;1371654.25;643046.50;31288.00
2019-01-13;2019-01-14;1280320.50;372295.50;37548.75
2019-01-14;2019-01-15;1566660.25;699586.50;30738.50
2019-01-15;2019-01-16;1607072.25;762045.25;39886.00
2019-01-16;2019-01-17;1607242.00;844305.25;40923.50
2019-01-17;2019-01-18;1624894.00;855285.75;38855.25
2019-01-18;2019-01-19;1561664.00;1258804.25;16942.25
2019-01-19;2019-01-20;1362419.00;1162977.75;37969.00
2019-01-20;2019-01-21;1279862.75;1163686.75;21662.00
2019-01-21;2019-01-22;1600868.75;1415955.50;20305.00
2019-01-22;2019-01-23;1655450.75;1323625.50;34279.75
2019-01-23;2019-01-24;1649947.50;1453775.00;32949.75
2019-01-24;2019-01-25;1634421.25;1567979.00;42179.25
2019-01-25;2019-01-26;1624279.00;1425585.75;35703.50
2019-01-26;2019-01-27;1414847.50;899026.25;34669.00
2019-01-27;2019-01-28;1274026.00;660098.00;55528.75
2019-01-28;2019-01-29;1586613.75;1065575.25;25361.00
2019-01-29;2019-01-30;1603332.50;1217703.75;30163.75
2019-01-30;2019-01-31;1622324.00;1139435.50;40542.50
2019-01-31;2019-02-01;1599507.25;1297730.50;29457.00
2019-02-01;2019-02-02;1599759.50;1221186.00;35252.50
2019-02-02;2019-02-03;1368301.75;1233357.25;21376.00
2019-02-03;2019-02-04;1285850.25;977609.75;37119.75
2019-02-04;2019-02-05;1583685.50;1043681.00;29645.50
2019-02-05;2019-02-06;1619422.75;1222520.00;29474.00
2019-02-06;2019-02-07;1614883.25;1192159.25;25947.75
2019-02-07;2019-02-08;1624802.00;995999.25;26999.00
2019-02-08;2019-02-09;1586558.25;755980.75;35426.50
2019-02-09;2019-02-10;1368687.75;382399.50;57119.25
2019-02-10;2019-02-11;1249292.00;435944.00;39901.00
2019-02-11;2019-02-12;1568650.75;729858.00;24835.00
2019-02-12;2019-02-13;1586964.75;1067916.50;41735.50
2019-02-13;2019-02-14;1595027.00;1050621.75;35564.50
2019-02-14;2019-02-15;1562814.25;1270964.75;31372.50
2019-02-15;2019-02-16;1529516.50;1196191.25;31184.50
2019-02-16;2019-02-17;1313894.25;799296.75;31300.50
2019-02-17;2019-02-18;1201513.00;864259.00;33880.75
2019-02-18;2019-02-19;1484341.00;1095570.75;31596.75
2019-02-19;2019-02-20;1563087.25;912622.25;38339.75
2019-02-20;2019-02-21;1546310.00;1097484.25;37793.75
2019-02-21;2019-02-22;1543856.00;1062296.25;34676.25
2019-02-22;2019-02-23;1511173.50;1224518.25;24143.00
2019-02-23;2019-02-24;1304202.75;959662.50;24411.25
2019-02-24;2019-02-25;1185734.00;952380.50;39135.50
2019-02-25;2019-02-26;1470949.00;1217373.75;25214.25
2019-02-26;2019-02-27;1485626.75;1268528.75;27193.25
2019-02-27;2019-02-28;1501718.75;1172785.50;34277.00
2019-02-28;2019-03-01;1496391.75;931714.50;46379.25
2019-03-01;2019-03-02;1491759.00;1245130.25;19198.00
2019-03-02;2019-03-03;1291146.75;999248.75;15441.00
2019-03-03;2019-03-04;1195167.50;306766.50;54736.50
2019-03-04;2019-03-05;1471720.00;472964.25;42161.25
2019-03-05;2019-03-06;1516623.25;695812.75;41295.25
2019-03-06;2019-03-07;1513019.25;811045.50;23708.50
2019-03-07;2019-03-08;1524371.75;599461.00;48255.25
2019-03-08;2019-03-09;1493362.75;599915.00;29979.00
2019-03-09;2019-03-10;1303199.00;319773.75;49055.00
2019-03-10;2019-03-11;1195311.25;601474.75;24115.00
2019-03-11;2019-03-12;1504176.00;786441.50;31230.00
2019-03-12;2019-03-13;1533334.50;736301.50;32816.50
2019-03-13;2019-03-14;1559021.50;521707.25;37562.25
2019-03-14;2019-03-15;1561349.50;635049.75;35718.50
2019-03-15;2019-03-16;1529541.25;580160.00;36158.50
2019-03-16;2019-03-17;1296552.50;454012.75;37527.50
2019-03-17;2019-03-18;1203522.75;321215.50;51093.75
2019-03-18;2019-03-19;1484091.75;660924.25;35827.75
2019-03-19;2019-03-20;1510678.00;1166224.25;29306.50
2019-03-20;2019-03-21;1517181.50;1110191.00;27391.50
2019-03-21;2019-03-22;1503161.00;1116892.75;25111.25
2019-03-22;2019-03-23;1450554.00;1172703.75;23721.25
2019-03-23;2019-03-24;1238722.00;888216.50;28664.50
2019-03-24;2019-03-25;1150793.50;833175.00;40605.75
2019-03-25;2019-03-26;1470318.00;774121.00;42644.50
2019-03-26;2019-03-27;1500354.75;956884.50;27349.50
2019-03-27;2019-03-28;1491444.50;1158402.25;25924.50
2019-03-28;2019-03-29;1465253.50;1250333.00;24199.00
2019-03-29;2019-03-30;1416603.00;1101352.50;27601.50
2019-03-30;2019-03-31;1193620.75;839959.25;28832.25
2019-03-31;2019-04-01;1087582.25;673013.75;58896.25
2019-04-01;2019-04-02;1401018.00;889216.00;23311.25
2019-04-02;2019-04-03;1473758.50;848931.50;30319.50
2019-04-03;2019-04-04;1468401.75;1154753.50;25660.50
2019-04-04;2019-04-05;1477988.00;1209688.50;29381.25
2019-04-05;2019-04-06;1453499.00;1245919.50;29183.50
2019-04-06;2019-04-07;1206288.75;858469.25;27066.50
2019-04-07;2019-04-08;1099847.25;743894.00;37377.75
2019-04-08;2019-04-09;1396518.50;1041734.25;18204.75
2019-04-09;2019-04-10;1448465.25;1017961.00;26956.25
2019-04-10;2019-04-11;1448464.50;993434.75;31334.50
2019-04-11;2019-04-12;1436230.00;1052703.00;25403.00
2019-04-12;2019-04-13;1439988.00;1129785.75;24410.75
2019-04-13;2019-04-14;1254790.00;866760.50;22952.75
2019-04-14;2019-04-15;1160435.25;723891.50;33650.75
2019-04-15;2019-04-16;1406257.75;810326.50;35534.00
2019-04-16;2019-04-17;1449750.75;803386.75;29451.00
2019-04-17;2019-04-18;1429435.25;833070.75;35351.50
2019-04-18;2019-04-19;1374627.50;672730.75;45254.75
2019-04-19;2019-04-20;1078675.25;512194.50;44138.25
2019-04-20;2019-04-21;1065751.25;650834.25;30067.50
2019-04-21;2019-04-22;964449.00;589954.50;33776.75
2019-04-22;2019-04-23;1017256.00;270306.50;53520.75
2019-04-23;2019-04-24;1336325.00;401385.50;30751.25
2019-04-24;2019-04-25;1386050.25;667307.00;44322.50
2019-04-25;2019-04-26;1385748.25;832711.75;28514.25
2019-04-26;2019-04-27;1376423.00;993419.75;26014.25
2019-04-27;2019-04-28;1180332.25;783574.25;25875.75
2019-04-28;2019-04-29;1092432.75;841632.75;44670.75
2019-04-29;2019-04-30;1390965.25;1029352.00;18591.50
