Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
2019-01-01;2019-01-02;115061.25;35547.25;54910.50;754693.75;10091.25;2993.00;171358.75;121568.75;62157.25;68598.00;16199.25;39042.00
2019-01-02;2019-01-03;115399.50;33866.25;76078.25;613483.50;31117.25;3025.25;196988.25;219818.25;132438.25;108567.00;18694.00;39226.75
2019-01-03;2019-01-04;116278.75;34020.25;63945.75;230696.75;22528.75;3104.00;227575.25;337891.25;289076.00;197938.75;32604.75;40233.00
2019-01-04;2019-01-05;116888.00;34982.75;88136.50;443145.25;9581.00;3055.50;221901.00;357775.25;199299.25;167920.00;20644.00;40789.75
2019-01-05;2019-01-06;116090.75;33818.50;88862.00;523102.00;6805.75;3000.75;219131.75;312910.00;130985.50;131458.50;15863.75;40477.25
2019-01-06;2019-01-07;115779.00;34206.25;64607.75;189513.00;11843.50;2983.00;225536.50;366325.50;205744.75;155988.75;21144.25;41381.25
2019-01-07;2019-01-08;115892.25;38885.75;70655.00;371130.00;10429.50;3032.75;223297.25;352249.25;262462.50;191267.50;37784.25;39138.25
2019-01-08;2019-01-09;114785.50;37517.75;88442.75;875618.00;13495.00;3080.50;216172.25;213969.00;104702.75;126231.00;19453.50;39777.50
2019-01-09;2019-01-10;115223.75;36859.50;108285.00;670005.00;13002.00;3051.00;222052.25;272120.50;181274.00;156652.00;21548.00;40186.25
2019-01-10;2019-01-11;117061.00;45808.00;23505.00;160083.25;10977.00;4061.00;227584.00;342333.50;355936.25;245905.75;43601.25;44576.50
2019-01-11;2019-01-12;118015.50;38592.00;102615.75;392819.75;5340.25;4866.25;219319.00;344894.50;285271.50;215405.00;25882.50;42841.00
2019-01-12;2019-01-13;117939.25;34360.00;106132.25;615603.25;6872.25;4769.00;213932.25;260743.75;119866.75;127826.50;18268.25;41405.25
2019-01-13;2019-01-14;116694.00;36143.00;108163.25;793787.50;6074.25;3730.00;209035.75;131513.25;60603.00;79957.25;9367.00;37633.25
2019-01-14;2019-01-15;115961.75;44538.25;102841.25;738951.50;25281.00;4612.75;204689.00;196417.00;140757.75;144775.50;30306.00;38574.50
2019-01-15;2019-01-16;115532.25;42202.00;84224.75;745699.00;15103.25;4865.25;216589.25;253638.50;179439.75;163415.75;27236.00;38843.25
2019-01-16;2019-01-17;116464.75;37982.00;107190.50;624701.75;31044.50;4802.50;216355.75;292088.50;163175.25;176604.00;27835.50;38422.50
2019-01-17;2019-01-18;116204.25;36388.25;116248.50;633199.25;20160.50;4739.00;217136.75;317569.25;186963.00;161749.25;14797.50;37965.50
2019-01-18;2019-01-19;116131.00;42608.50;31197.75;224250.00;47412.00;4895.50;226026.25;379765.00;343595.75;225217.75;37576.25;36459.50
2019-01-19;2019-01-20;117768.00;38723.00;28177.75;108163.50;63100.00;4911.75;227815.50;367197.50;348600.50;180884.25;12124.75;37072.50
2019-01-20;2019-01-21;118097.00;36720.00;9805.75;52857.00;53513.25;4867.00;227720.50;364172.25;340575.50;185884.00;15539.75;36058.75
2019-01-21;2019-01-22;117862.75;44389.50;39419.00;93774.50;51719.75;4809.25;227502.00;390236.00;384985.75;262253.00;42493.50;36712.50
2019-01-22;2019-01-23;118421.25;46014.25;97374.50;196913.25;37537.50;4788.00;227375.00;389867.50;373621.50;252593.25;27358.00;39319.75
2019-01-23;2019-01-24;118491.75;49203.00;32907.75;136229.00;27035.75;4870.75;227782.00;389862.75;375360.50;284159.00;45823.25;40960.00
2019-01-24;2019-01-25;116724.00;48897.00;15640.25;36292.00;14510.00;4893.50;228116.75;388795.25;365623.50;298413.25;41749.75;45397.25
2019-01-25;2019-01-26;118393.00;42989.00;56852.50;125604.75;16236.00;4900.50;227444.00;384305.00;340529.00;270844.00;34231.50;40243.75
2019-01-26;2019-01-27;117667.75;35025.25;68699.50;435589.25;11532.50;4807.75;226532.75;346540.75;195756.25;148694.25;18539.00;38716.00
2019-01-27;2019-01-28;116828.00;31855.00;81880.50;508086.00;23961.50;4490.50;222954.75;286937.25;124911.50;111857.75;14022.00;38471.25
2019-01-28;2019-01-29;114654.75;31352.00;75155.00;421505.75;24377.75;4819.75;226219.25;366693.00;263978.25;187707.75;26919.00;39435.25
2019-01-29;2019-01-30;115621.25;39521.50;83183.00;266490.25;35955.50;4823.00;227050.50;359366.50;346481.25;239262.00;38659.00;39453.50
2019-01-30;2019-01-31;116268.00;37394.50;75323.75;373641.50;33923.25;4785.00;222651.00;374898.50;315309.00;229726.00;28239.25;32994.75
2019-01-31;2019-02-01;116474.75;40500.50;62624.75;184692.25;54459.75;4769.75;227218.75;379921.00;369866.50;242904.75;40199.50;40812.00
2019-02-01;2019-02-02;117752.50;35990.75;95361.50;262840.75;20371.25;4616.00;224600.00;353985.50;319642.00;235176.50;27858.25;40795.75
2019-02-02;2019-02-03;117551.75;35096.00;31722.00;83190.00;20032.50;4615.25;226829.50;359276.25;296771.00;179940.00;16974.00;42270.75
2019-02-03;2019-02-04;116901.75;32386.75;63611.75;225040.75;19588.00;4664.50;226454.75;352630.25;215672.25;169248.50;15527.75;42232.00
2019-02-04;2019-02-05;116199.00;34585.50;97809.00;385606.50;56589.00;4697.00;214827.50;349361.50;245774.00;184257.50;23631.25;41865.75
2019-02-05;2019-02-06;116265.25;36897.75;79606.50;282050.50;35245.75;4761.75;218850.00;378725.75;290404.75;237834.75;32509.50;38999.25
2019-02-06;2019-02-07;117052.50;34058.00;91282.25;276801.75;54640.00;4702.00;227033.75;386779.00;287156.00;230619.25;28131.75;38715.50
2019-02-07;2019-02-08;117028.75;34251.25;82929.00;518202.25;27671.50;4737.25;223697.75;332712.50;179842.75;158244.00;27207.25;40304.75
2019-02-08;2019-02-09;117086.50;33617.75;106724.00;668273.75;55579.75;4608.00;218354.75;258286.25;113847.00;135064.75;32082.75;39653.50
2019-02-09;2019-02-10;114226.25;32882.00;87049.00;841893.50;57345.75;3854.25;196573.50;117737.25;63359.50;72475.75;15709.50;37236.50
2019-02-10;2019-02-11;116291.50;32505.25;79943.00;708061.25;25343.75;3910.75;200372.25;133453.75;48134.75;81409.00;16707.50;36991.75
2019-02-11;2019-02-12;115225.00;39521.00;84790.75;713904.50;40097.50;4384.75;209104.75;250957.50;115788.75;122481.50;34091.75;38726.25
2019-02-12;2019-02-13;116781.00;38141.00;79167.50;393286.25;46594.50;4595.75;223683.00;366959.50;261871.00;191738.50;25865.00;41695.00
2019-02-13;2019-02-14;117695.00;36814.25;106991.00;365318.00;72096.25;4545.00;222208.25;378084.00;238752.25;197846.25;21521.50;46241.25
2019-02-14;2019-02-15;117470.50;37653.25;62234.75;126655.75;102959.00;4574.75;226538.75;399087.75;282297.25;195501.25;29530.75;47178.75
2019-02-15;2019-02-16;117038.50;38449.50;52152.25;154710.50;126462.50;4639.25;225329.75;400331.75;236796.25;178845.25;23086.75;47279.00
2019-02-16;2019-02-17;118233.00;36035.00;102280.50;284562.50;127754.50;4453.75;220552.50;366916.75;113456.75;111373.75;18962.00;47847.25
2019-02-17;2019-02-18;117915.25;33599.75;64744.50;150623.50;121886.00;4464.50;225706.25;395514.00;113486.75;109177.25;13640.00;47773.00
2019-02-18;2019-02-19;117116.75;35576.25;67648.25;190383.50;130738.50;4468.00;225890.50;398186.50;202423.25;153035.75;29311.25;47442.75
2019-02-19;2019-02-20;116815.00;34765.00;114492.25;469356.75;66616.00;4551.50;217782.25;368368.75;170694.75;154086.25;21079.50;47790.50
2019-02-20;2019-02-21;116305.25;36402.00;103053.00;270613.00;75159.75;4561.50;225102.50;377373.00;219611.25;177459.25;29388.25;46801.75
2019-02-21;2019-02-22;117271.50;36937.25;90489.75;327466.00;63604.00;4567.00;224858.00;408876.25;210914.25;171744.75;20173.75;47505.50
2019-02-22;2019-02-23;117973.00;41609.25;36490.00;202596.50;47568.75;4681.00;225546.75;413439.75;238987.75;175984.25;28120.50;46938.00
2019-02-23;2019-02-24;118553.00;41875.00;35564.50;180535.25;128440.50;4754.00;225936.50;383435.00;147582.75;112211.75;11395.50;45952.25
2019-02-24;2019-02-25;117605.25;37792.75;16636.00;89006.50;127711.00;4527.75;221603.25;385449.25;145083.75;113116.75;11591.25;45187.75
2019-02-25;2019-02-26;117230.75;39386.50;16880.50;97808.00;138886.75;4576.00;224839.50;394571.00;213788.00;168278.00;28889.25;42351.75
2019-02-26;2019-02-27;116146.00;42866.25;9124.75;76691.50;131281.75;4499.25;225620.75;383146.75;230662.00;177750.50;29263.25;37545.25
2019-02-27;2019-02-28;114211.00;42541.00;43406.00;136073.50;149453.75;4438.75;225203.50;375155.50;201397.25;164984.50;28099.50;37537.25
2019-02-28;2019-03-01;114680.25;40107.75;35912.00;407216.25;121549.00;4409.75;223492.50;367107.50;162486.00;115022.75;15039.25;46268.25
2019-03-01;2019-03-02;117383.00;44065.25;36866.25;177888.75;31873.75;4747.50;225327.25;368333.00;227484.25;156856.50;34373.25;46261.75
2019-03-02;2019-03-03;117851.75;45275.25;58605.25;198082.25;35210.50;4784.50;225332.75;349329.25;126621.50;119176.75;13377.75;45984.00
